Date,Microsoft,Google,Amazon,Oracle,Meta,CoreWeave,Nebius,Applied Digital,IREN,Core Scientific,DigitalOcean,NVIDIA,AMD,Broadcom,Marvell,Qualcomm,Arm,Intel,Micron,SanDisk,Western Digital,Seagate,NetApp,TSMC,ASML,Applied Materials,Lam Research,KLA,Teradyne,ASM International,Tokyo Electron,Palantir,ServiceNow,Salesforce,Adobe,Snowflake,Datadog,MongoDB,Cloudflare,CrowdStrike,Palo Alto Networks,Zscaler,GitLab,Atlassian,NextEra Energy,Constellation Energy,Vistra,Southern Company,Duke Energy,American Electric Power,Dominion Energy,Vertiv,Eaton,GE Vernova,Quanta Services,Hubbell,Schneider Electric,Arista Networks,Cisco,Credo Technology,Astera Labs,Coherent,Lumentum,Ciena,Amphenol
2025-12-03,477.7300109863281,319.6300048828125,232.3800048828125,207.72999572753906,639.5999755859375,79.36000061035156,98.91999816894531,29.360000610351562,43.959999084472656,16.549999237060547,45.88999938964844,179.58999633789062,217.60000610351562,380.6099853515625,100.19999694824219,175.07000732421875,139.19000244140625,43.7599983215332,234.16000366210938,194.3800048828125,155.58999633789062,258.6700134277344,114.66000366210938,295.45001220703125,1140.9200439453125,268.6300048828125,159.75,121.17500305175781,195.0800018310547,583.72998046875,106.23999786376953,176.0800018310547,166.5800018310547,238.72000122070312,326.7799987792969,265.0,155.8300018310547,405.94000244140625,204.35000610351562,131.04249572753906,193.6300048828125,243.66000366210938,37.83000183105469,156.7550048828125,84.94999694824219,361.260009765625,171.64999389648438,87.9800033569336,118.62000274658203,118.05999755859375,60.029998779296875,178.8800048828125,335.57000732421875,601.969970703125,456.0199890136719,429.3399963378906,53.689998626708984,127.80000305175781,77.75,189.19000244140625,152.5,170.9600067138672,302.9800109863281,193.35000610351562,138.64999389648438
2025-12-04,480.8399963378906,317.6199951171875,229.11000061035156,214.3300018310547,661.530029296875,85.75,102.80000305175781,31.139999389648438,46.45000076293945,17.079999923706055,46.25,183.3800048828125,215.97999572753906,381.0299987792969,98.19000244140625,174.35000610351562,140.49000549316406,40.5,226.64999389648438,213.30999755859375,161.0,265.6300048828125,115.98999786376953,292.92999267578125,1110.0799560546875,269.44000244140625,157.08999633789062,120.80799865722656,198.6300048828125,590.1500244140625,108.19999694824219,177.9199981689453,167.7740020751953,247.4600067138672,328.7300109863281,234.77000427246094,153.0,396.7300109863281,204.14999389648438,128.27999877929688,195.67999267578125,241.85000610351562,37.5099983215332,156.5399932861328,83.38999938964844,368.6199951171875,176.07000732421875,87.33000183105469,117.97000122070312,118.04000091552734,59.84000015258789,182.5399932861328,338.92999267578125,629.1099853515625,464.8399963378906,437.7099914550781,55.25,128.5500030517578,77.76000213623047,180.9199981689453,152.50999450683594,177.35000610351562,327.8500061035156,195.72999572753906,139.4600067138672
2025-12-05,483.1600036621094,321.2699890136719,229.52999877929688,217.5800018310547,673.4199829101562,88.30000305175781,98.04000091552734,31.219999313354492,44.709999084472656,17.110000610351562,48.29999923706055,182.41000366210938,217.97000122070312,390.239990234375,98.91000366210938,174.80999755859375,141.30999755859375,41.40999984741211,237.22000122070312,228.47000122070312,168.88999938964844,278.7900085449219,117.2699966430664,294.7200012207031,1099.469970703125,268.0,158.6999969482422,121.44599914550781,200.77000427246094,601.1599731445312,106.73999786376953,181.75999450683594,170.8719940185547,260.57000732421875,346.260009765625,228.7899932861328,151.41000366210938,409.6199951171875,200.9499969482422,128.00750732421875,198.83999633789062,242.67999267578125,37.349998474121094,159.3300018310547,83.12999725341797,359.82000732421875,167.1699981689453,86.27999877929688,116.5199966430664,117.54000091552734,58.4900016784668,189.02000427246094,337.6600036621094,631.3200073242188,460.6400146484375,440.5299987792969,54.790000915527344,128.58999633789062,77.97000122070312,176.0399932861328,161.22999572753906,181.7899932861328,331.4100036621094,201.7100067138672,139.36000061035156
2025-12-08,491.0199890136719,313.7200012207031,226.88999938964844,220.5399932861328,666.7999877929688,86.23999786376953,100.33000183105469,32.11000061035156,46.34000015258789,17.690000534057617,49.4900016784668,185.5500030517578,221.11000061035156,401.1000061035156,92.0,175.30999755859375,139.77999877929688,40.29999923706055,246.9199981689453,225.47000122070312,169.77999877929688,285.4100036621094,117.52999877929688,301.8699951171875,1119.68994140625,268.1600036621094,162.74000549316406,122.45899963378906,202.99000549316406,644.2899780273438,106.72000122070312,181.49000549316406,170.70399475097656,259.5299987792969,339.1199951171875,225.30999755859375,154.27999877929688,418.7099914550781,205.86000061035156,128.79750061035156,195.35000610351562,244.8800048828125,39.06999969482422,160.74000549316406,80.55000305175781,357.6700134277344,166.1199951171875,85.55999755859375,115.22000122070312,115.7300033569336,58.439998626708984,185.61000061035156,343.3900146484375,621.9000244140625,463.0899963378906,441.510009765625,55.31999969482422,129.11000061035156,78.86000061035156,178.94000244140625,175.74000549316406,185.86000061035156,342.55999755859375,212.92999267578125,140.05999755859375
2025-12-09,492.0199890136719,317.0799865722656,227.9199981689453,221.52999877929688,656.9600219726562,90.66000366210938,96.41000366210938,32.77000045776367,46.84000015258789,17.489999771118164,49.720001220703125,184.97000122070312,221.6199951171875,406.2900085449219,88.9000015258789,176.0,141.92999267578125,40.5,252.4199981689453,219.4600067138672,169.5399932861328,282.8599853515625,117.30000305175781,303.4100036621094,1111.43994140625,267.1400146484375,165.80999755859375,122.56099700927734,199.97000122070312,641.8699951171875,107.94999694824219,181.83999633789062,170.98199462890625,261.0199890136719,344.32000732421875,222.60000610351562,152.57000732421875,414.05999755859375,208.92999267578125,129.4949951171875,195.0,243.00999450683594,39.02000045776367,161.41000366210938,79.63999938964844,359.1499938964844,164.80999755859375,85.48999786376953,115.23999786376953,116.06999969482422,58.459999084472656,178.3800048828125,341.760009765625,625.2999877929688,457.9599914550781,438.70001220703125,54.2400016784668,130.0399932861328,79.51000213623047,170.2899932861328,167.0800018310547,192.72999572753906,360.3299865722656,214.35000610351562,138.5800018310547
2025-12-10,478.55999755859375,320.2099914550781,231.77999877929688,223.00999450683594,650.1300048828125,88.16000366210938,93.58999633789062,30.989999771118164,43.91999816894531,17.329999923706055,50.630001068115234,183.77999877929688,221.4199981689453,412.9700012207031,92.47000122070312,182.2100067138672,141.52000427246094,40.779998779296875,263.7099914550781,232.86000061035156,181.9499969482422,298.9200134277344,119.38999938964844,310.1400146484375,1119.3199462890625,275.1499938964844,168.25999450683594,123.89099884033203,204.00999450683594,644.8099975585938,106.81999969482422,187.91000366210938,170.71200561523438,264.20001220703125,343.1300048828125,216.5500030517578,151.1999969482422,427.4100036621094,213.4600067138672,129.88499450683594,192.9600067138672,243.2899932861328,40.5,161.72999572753906,81.2699966430664,362.07000732421875,165.1699981689453,84.08000183105469,114.0,114.16000366210938,58.060001373291016,181.82000732421875,353.45001220703125,723.0,462.2099914550781,448.17999267578125,54.630001068115234,132.36000061035156,80.25,157.97999572753906,164.31500244140625,197.4499969482422,366.0,221.85000610351562,138.67999267578125
2025-12-11,483.4700012207031,312.42999267578125,230.27999877929688,198.85000610351562,652.7100219726562,87.37999725341797,94.27999877929688,30.760000228881836,43.939998626708984,17.399999618530273,49.16999816894531,180.92999267578125,221.42999267578125,406.3699951171875,89.43000030517578,181.27000427246094,136.13999938964844,39.5099983215332,258.4599914550781,241.61000061035156,187.1999969482422,307.8500061035156,119.11000061035156,304.8500061035156,1122.8399658203125,270.1099853515625,168.7100067138672,124.61799621582031,203.97000122070312,643.6900024414062,105.05000305175781,187.5399932861328,173.4980010986328,262.3500061035156,350.42999267578125,220.50999450683594,149.89999389648438,420.3900146484375,207.9499969482422,129.41250610351562,190.36000061035156,242.0800018310547,40.70000076293945,163.26499938964844,81.20999908447266,378.6000061035156,174.60000610351562,84.7300033569336,114.38999938964844,114.26000213623047,58.16999816894531,178.66000366210938,350.3599853515625,704.2000122070312,466.9100036621094,462.82000732421875,56.290000915527344,134.38999938964844,79.2699966430664,154.47000122070312,173.6999969482422,198.5,372.0899963378906,242.3699951171875,139.08999633789062
2025-12-12,478.5299987792969,309.2900085449219,226.19000244140625,189.97000122070312,644.22998046875,78.58999633789062,87.69000244140625,27.860000610351562,40.130001068115234,16.530000686645508,47.65999984741211,175.02000427246094,210.77999877929688,359.92999267578125,84.43000030517578,178.2899932861328,130.88999938964844,37.810001373291016,241.13999938964844,206.17999267578125,176.33999633789062,287.6400146484375,115.66000366210938,292.0400085449219,1080.8499755859375,259.2099914550781,160.52000427246094,119.39199829101562,193.3699951171875,603.77001953125,96.9000015258789,183.57000732421875,173.01199340820312,262.2300109863281,356.42999267578125,217.92999267578125,146.0,419.0,202.44000244140625,126.19499969482422,191.69000244140625,236.27999877929688,39.52000045776367,162.0399932861328,81.6500015258789,351.9800109863281,170.10000610351562,84.44000244140625,115.30000305175781,114.12999725341797,59.33000183105469,161.27000427246094,331.9800109863281,671.7100219726562,438.1099853515625,448.0,55.20000076293945,124.76000213623047,77.80000305175781,143.91000366210938,148.85000610351562,178.33999633789062,324.3500061035156,218.44000244140625,129.24000549316406
2025-12-15,474.82000732421875,308.2200012207031,222.5399932861328,184.9199981689453,647.510009765625,72.3499984741211,81.13999938964844,22.979999542236328,35.47999954223633,15.279999732971191,45.779998779296875,176.2899932861328,207.5800018310547,339.80999755859375,84.26000213623047,179.25999450683594,124.37000274658203,37.5099983215332,237.5,201.8699951171875,172.0399932861328,285.5799865722656,114.11000061035156,287.739990234375,1087.8199462890625,261.2699890136719,164.3000030517578,122.51100158691406,194.6999969482422,603.3800048828125,99.69999694824219,183.25,153.0399932861328,254.5800018310547,351.1499938964844,215.27999877929688,142.0500030517578,416.0,196.6999969482422,121.86750030517578,185.8800048828125,230.30999755859375,38.59000015258789,159.1699981689453,81.6500015258789,357.1400146484375,168.25,86.0,116.7300033569336,115.7699966430664,59.84000015258789,161.74000549316406,333.2099914550781,681.3499755859375,435.8699951171875,444.8399963378906,56.880001068115234,125.88999938964844,78.25,142.02000427246094,143.66000366210938,178.4499969482422,334.69000244140625,216.17999267578125,129.89999389648438
2025-12-16,476.3900146484375,306.57000732421875,222.55999755859375,188.64999389648438,657.1500244140625,69.5,80.94999694824219,24.239999771118164,36.59000015258789,14.729999542236328,44.439998626708984,177.72000122070312,209.1699981689453,341.29998779296875,84.06999969482422,176.1199951171875,121.0999984741211,37.310001373291016,232.50999450683594,209.30999755859375,174.5800018310547,288.1300048828125,113.08999633789062,286.8699951171875,1076.050048828125,258.8399963378906,163.25999450683594,122.33699798583984,192.2899932861328,610.7000122070312,100.9000015258789,187.75,156.2239990234375,254.91000366210938,347.8900146484375,220.60000610351562,140.0500030517578,421.5,197.52999877929688,122.13249969482422,187.08999633789062,232.77999877929688,38.099998474121094,159.55999755859375,81.31999969482422,365.625,173.4499969482422,85.70999908447266,115.58999633789062,114.56999969482422,59.34000015258789,160.66000366210938,329.92999267578125,686.219970703125,438.489990234375,438.4200134277344,56.36000061035156,126.12999725341797,77.55000305175781,140.33999633789062,144.94000244140625,175.1999969482422,316.1499938964844,209.83999633789062,129.1300048828125
