name,symbol,market_cap,last_date,last_close,day_return_pct,ret_20d_pct,ret_60d_pct,above_ma20_pct,above_ma50_pct,volume,volume_vs_20d_pct,dollar_volume,current_drawdown_pct,last20_volatility_pct,accumulation_days,distribution_days,high_volume_avg_return_pct,state,playbook,score
Meta,META,1400000000000.0,2026-09-24,777.5900268554688,4.5007461857742515,34.96546101383997,38.04435675894846,19.29310415418133,26.642502521819054,34744400,55.12232864758631,27016898929.07715,0.0,3.110455717369278,10,9,0.8516496482279334,强趋势过热,等待缩量回踩或放量续强，避免追高。,88.984375
Cloudflare,NET,83860000000.0,2026-09-24,358.82000732421875,1.8420290634620695,29.267247165459075,47.20217238688693,15.033511304476388,20.978484190806746,3159100,-2.776730551729978,1133548285.1379395,0.0,4.618934507907382,10,5,0.20963091060965158,趋势强,优先观察回踩 20 日线是否缩量企稳。,88.984375
AMD,AMD,850490000000.0,2026-09-24,629.260009765625,2.383629417553723,30.84233034928232,8.323154852957604,20.917131311079217,25.320841376969415,25259300,17.132058462851862,15894667364.672852,0.0,3.5557509473911826,9,3,3.092564298837118,强趋势过热,等待缩量回踩或放量续强，避免追高。,88.59375
Zscaler,ZS,21390000000.0,2026-09-24,214.63999938964844,0.08859988067619895,27.443297543762558,55.9883647302865,16.235715469626278,25.02752283296996,2399200,-35.54133111234996,514964286.53564453,0.0,5.09567662940217,11,4,-1.6872964482379156,强趋势过热,等待缩量回踩或放量续强，避免追高。,86.71875
Intel,INTC,644940000000.0,2026-09-24,127.38999938964844,3.9070154772786747,44.367636529548825,-8.766028120844627,23.68321287693229,29.287946483481498,118949000,12.38845328614271,15152913037.399292,-9.614022149170198,4.427049479899626,9,2,5.596999397307504,强趋势过热,等待缩量回踩或放量续强，避免追高。,83.828125
CrowdStrike,CRWD,178470000000.0,2026-09-24,259.6700134277344,-1.0743178450815183,40.07444524121364,39.81237178907342,14.88273115340788,23.18428694872685,8385900,-36.79140575976905,2177566765.6036377,-1.0743178450815183,6.436486910381895,8,7,0.43898281906506037,趋势强,优先观察回踩 20 日线是否缩量企稳。,81.71875
GitLab,GTLB,4910000000.0,2026-09-24,48.619998931884766,-0.7957547500610396,16.706670931265034,62.88106636697759,2.018545785593817,17.84409490349219,6191500,3.1351142456886194,301030723.3867645,-3.28227871663781,3.7104685439905314,8,6,-0.7405639784296529,趋势强,优先观察回踩 20 日线是否缩量企稳。,77.578125
Atlassian,TEAM,19980000000.0,2026-09-24,192.61000061035156,-1.2661478355132538,15.68862649731846,143.01033991810579,2.708763428706118,28.016983345011347,1690100,-53.83388283241053,325530162.0315552,-1.5638562821223556,3.662947801276375,10,3,6.712131294714417,趋势强,优先观察回踩 20 日线是否缩量企稳。,75.859375
Arm,ARM,357030000000.0,2026-09-24,306.3399963378906,-7.884291981353952,22.018640690218017,-13.60239444681135,15.478201877392529,16.32437044572672,9518200,83.34924137426209,2915805353.1433105,-30.291721136301685,5.861338835438804,18,9,7.057105745426258,趋势强,优先观察回踩 20 日线是否缩量企稳。,75.0
Palantir,PLTR,270730000000.00003,2026-09-24,192.58999633789062,0.41712450063247086,8.50140638754402,65.07242595393589,8.065795227846895,18.282394566214123,22639500,-17.69566025879542,4360141222.091675,0.0,3.2058670012020514,4,5,2.5716371539671057,趋势强,优先观察回踩 20 日线是否缩量企稳。,74.140625
Qualcomm,QCOM,199620000000.0,2026-09-24,194.25999450683594,-1.5108552541747922,18.65379492940713,5.124737033806581,8.346878299824967,14.530366601748135,9073100,-37.10635584114903,1762540356.1599731,-22.611747589652985,3.094447791582396,11,5,2.9592906792340945,趋势强,优先观察回踩 20 日线是否缩量企稳。,72.65625
DigitalOcean,DOCN,14540000000.0,2026-09-24,141.57000732421875,0.25493987198870194,25.76175509284282,-5.531825205104246,15.028829420151691,15.069127286472428,1749600,-37.12050286346818,247690884.81445312,-21.909640594019653,5.623350266978715,8,5,1.8223637127895196,趋势强,优先观察回踩 20 日线是否缩量企稳。,70.15625
Astera Labs,ALAB,67150000000.00001,2026-09-24,360.510009765625,0.013876244724131404,24.18533411125303,-25.36333527277258,20.096344005399548,18.53731025174774,3403700,-15.331267008621852,1227067920.2392578,-25.36333527277258,6.2242797680500805,11,4,3.5419061895161077,趋势强,优先观察回踩 20 日线是否缩量企稳。,68.828125
Datadog,DDOG,85350000000.0,2026-09-24,256.9200134277344,2.1591346836715264,15.215932148856082,3.3592170646012054,11.84294195432145,5.760345890791241,3487500,-5.707055140080786,896008546.8292236,-10.838098604981795,3.717463099627951,7,6,1.994802056669515,趋势强,优先观察回踩 20 日线是否缩量企稳。,68.28125
IREN,IREN,16870000000.000002,2026-09-24,46.150001525878906,-1.9128538273656903,16.599291033052353,0.9184386351341667,7.061044572141872,12.504178345068029,30319800,-24.97010043728961,1399258816.2643433,-31.972281814374483,4.922396677459751,8,4,1.7773931575233912,趋势强,优先观察回踩 20 日线是否缩量企稳。,68.203125
Palo Alto Networks,PANW,247920000000.0,2026-09-24,389.9200134277344,-0.8593883727790907,14.716098978949521,17.44578717702843,8.444109289491152,9.621456863570256,3967700,-43.68621996394965,1547085637.2772217,-1.535350144511527,5.187800288824981,10,7,-0.9083200837806775,趋势强,优先观察回踩 20 日线是否缩量企稳。,67.734375
NetApp,NTAP,29870000000.0,2026-09-24,197.24000549316406,0.4635071836307736,5.233961052515368,27.202378820257245,3.6855603547193416,6.029560054611993,2347800,-8.216280878978255,463080084.8968506,-4.751784938614467,2.81303806043439,10,2,3.0326131006263384,趋势强,优先观察回踩 20 日线是否缩量企稳。,67.109375
Nebius,NBIS,61530000000.0,2026-09-24,243.47999572753906,7.444506011098295,13.812931362336812,-11.836917880568276,10.147273015938762,13.635618954421847,24292300,57.75880319877806,5914689100.212097,-15.07203123439872,4.210549285653138,9,6,4.833152437259106,趋势强,优先观察回踩 20 日线是否缩量企稳。,66.875
Micron,MU,1280000000000.0,2026-09-24,1080.530029296875,0.8069955941577778,15.145993306165838,-6.390075914155158,9.498603371093939,15.31390407457225,22001600,-13.368783923990568,23773389492.578125,-10.961965034596444,3.1815065825585527,6,6,2.6688307975391115,趋势强,优先观察回踩 20 日线是否缩量企稳。,65.46875
Salesforce,CRM,129710000000.00002,2026-09-24,238.22000122070312,0.2693826857125492,15.815060719134122,50.83898706292693,-3.79846927095161,12.8311717833264,11060900,-34.99673687838709,2634927611.502075,-9.911882986441068,5.5071832789371795,4,3,2.5323782759070643,短线整理,看 50 日线是否守住，以及放量日方向。,64.53125
Seagate,STX,203600000000.0,2026-09-24,905.9199829101562,-1.941852956709611,10.253508312620463,-6.464440388303894,7.609658983919254,7.274312847013142,3067100,-17.14291503170862,2778547179.58374,-17.19498824865192,3.5459989222009822,9,4,1.0348825298396913,趋势强,优先观察回踩 20 日线是否缩量企稳。,63.28125
MongoDB,MDB,25260000000.0,2026-09-24,421.3999938964844,-1.6247996295372769,4.069934782734852,24.608197712183255,6.27619635237151,10.172871395929883,1204600,-39.618896287960624,507618432.6477051,-10.775162236699554,4.951029327893202,10,6,-0.3587986593793623,趋势强,优先观察回踩 20 日线是否缩量企稳。,61.71875
Arista Networks,ANET,198450000000.0,2026-09-24,205.6999969482422,1.0959825596699169,7.730174043213034,25.350389577977793,4.8644447620193265,8.946768598300148,3556900,-28.0067198315994,731654319.1452026,-2.280286485395633,2.908265270400597,3,5,0.7305570433831202,趋势强,优先观察回踩 20 日线是否缩量企稳。,61.328125
ServiceNow,NOW,101420000000.0,2026-09-24,137.77999877929688,-2.130984533323621,9.523048836978276,38.77921079107478,-0.8016940882905055,10.088018415973309,9567600,-38.37969433298769,1318223916.3208008,-6.899119085672856,4.048937728302838,8,6,0.009026069664217744,短线整理,看 50 日线是否守住，以及放量日方向。,60.625
Eaton,ETN,156360000000.0,2026-09-24,440.0,0.2826124092387916,7.526878512746915,7.77445487560644,6.8827644837040625,5.355204815235126,1362000,-34.58276097251708,599280000.0,-4.339506006149563,2.8378793717481123,6,4,0.6029862436660163,趋势强,优先观察回踩 20 日线是否缩量企稳。,60.46875
Marvell,MRVL,233370000000.0,2026-09-24,258.95001220703125,-0.7474058011004758,5.646449170664791,-13.071939483222451,11.681612204488356,18.189773786561926,13378300,-37.83210956693958,3464310948.309326,-18.165149258668666,4.22581286486962,11,5,4.283277635447248,趋势强,优先观察回踩 20 日线是否缩量企稳。,57.734375
CoreWeave,CRWV,52690000000.0,2026-09-24,90.12999725341797,3.7169110136058725,2.4088115733777116,-9.4534896278482,4.607095945658268,5.45318873933609,33668700,16.31018883085438,3034559838.5261536,-34.67893894460444,4.579569167757561,14,4,1.2169765853587267,趋势强,优先观察回踩 20 日线是否缩量企稳。,57.65625
Snowflake,SNOW,86290000000.0,2026-09-24,334.0,-0.2419275303904289,5.356132601971608,32.72402467746139,0.9939134681462347,6.227204367709205,2793500,-49.07854682002954,933029000.0,-6.303476069166103,4.4968943443100535,12,8,4.518977563530923,趋势强,优先观察回踩 20 日线是否缩量企稳。,56.5625
Amphenol,APH,201410000000.0,2026-09-24,83.08000183105469,1.082856020454459,4.647943657608078,-0.1562279231441921,3.2931864704206504,3.669875958434421,11709500,-2.4122537439749903,972825281.4407349,-5.762252291327929,2.484784672855897,6,5,0.8990146324080265,趋势强,优先观察回踩 20 日线是否缩量企稳。,55.46875
Lumentum,LITE,63560000000.0,2026-09-24,929.0399780273438,-0.8495220888640631,-1.063869200968104,8.272146548109305,1.8214711623895763,8.741412358451184,3671300,-16.553493113555028,3410784471.331787,-11.779619198663527,4.999238481858148,8,4,1.6962341344648775,中性观察,等待价格和成交量给出更明确方向。,55.234375
TSMC,TSM,1900000000000.0,2026-09-24,451.1499938964844,1.025592067794312,8.010723565204781,-5.532176020802337,5.157530654810882,7.58064890974357,7706700,-23.31122901848085,3476877657.962036,-5.532176020802337,1.8018001989932617,2,5,-0.6929856345223682,趋势强,优先观察回踩 20 日线是否缩量企稳。,54.296875
Microsoft,MSFT,2770000000000.0,2026-09-24,497.92999267578125,-0.531373715329686,0.31428119627283646,33.4861421213358,-0.31132224844993006,5.157184177283747,16637200,-22.02892023514299,8284160874.145508,-3.0378041655038768,1.4122300110945092,6,3,2.0933343810628826,短线整理,看 50 日线是否守住，以及放量日方向。,53.90625
SanDisk,SNDK,309610000000.0,2026-09-24,1753.6199951171875,-3.4653194224902206,16.957122046458473,-22.874747213577972,6.3350206509257045,16.178053568999175,8186500,-23.708086160051334,14356010090.026855,-24.89850127977784,4.8852437703758635,4,6,1.7932409935174858,趋势强,优先观察回踩 20 日线是否缩量企稳。,53.59375
Quanta Services,PWR,103220000000.0,2026-09-24,643.5,1.3545401252542444,6.578549931401412,-9.930717474250883,3.131280006835979,0.3604544910141616,937800,5.685467966416868,603474300.0,-18.05053130216522,2.1852422135082796,3,5,0.2651320924475026,趋势强,优先观察回踩 20 日线是否缩量企稳。,49.765625
NVIDIA,NVDA,4660000000000.0,2026-09-24,224.5800018310547,-0.41239532545555013,7.116282508985616,12.239495197854854,1.207752412441887,4.15372093747044,77305200,-38.892732538320395,17361201957.55005,-4.734030458157845,2.82981726699643,1,4,0.2904615363311436,趋势强,优先观察回踩 20 日线是否缩量企稳。,49.0625
Schneider Electric,SBGSY,176910000000.0,2026-09-24,66.43000030517578,-0.13529215639250802,-4.002885498879738,3.796875476837158,-0.5672872687587871,0.18519983952396402,266300,-1.9856824748339164,17690309.08126831,-7.142857904608258,2.270174095639802,5,2,0.680991070216466,短线整理,看 50 日线是否守住，以及放量日方向。,46.40625
Amazon,AMZN,2500000000000.0,2026-09-24,249.3800048828125,0.04412910035951345,-4.187795430922437,4.63204192101716,-2.063928810378912,-2.65415374575535,32986900,-6.8916399379539195,8226273283.068848,-12.196319086961138,1.7663634187419146,9,2,1.9978557893163496,中性观察,等待价格和成交量给出更明确方向。,44.375
Teradyne,TER,68390000000.0,2026-09-24,387.70001220703125,-0.37004738325541187,5.804661178505066,-16.301457360806904,7.627180391358412,5.829612517334848,1332200,-47.57883636191931,516493956.26220703,-19.87020189701717,4.350932713202081,6,6,-2.0443949720178924,趋势强,优先观察回踩 20 日线是否缩量企稳。,43.515625
Hubbell,HUBB,27320000000.0,2026-09-23,463.70001220703125,1.0614009060627483,-0.10555811883019572,-9.91043647647002,1.997948249580439,-2.38732949913949,603089,24.59973335873169,279652376.66192627,-16.877290938305745,1.7111260431532642,4,4,-0.18897463686963994,中性观察,等待价格和成交量给出更明确方向。,43.046875
Google,GOOGL,4120000000000.0,2026-09-24,342.3599853515625,1.340910801098416,0.10525887472587758,-4.2001315081594885,0.10218613366645979,-0.6215398302475972,23746900,-11.984446455373343,8129988336.14502,-14.966968977307149,1.722205399396387,3,6,-0.013902389442431521,中性观察,等待价格和成交量给出更明确方向。,41.875
ASML,ASML,692630000000.0,2026-09-24,1722.5,-1.2673311248477703,-1.2418604804159905,-8.52897529092428,2.170037710658601,0.16057099430011323,1263300,-2.7437756940274394,2176034250.0,-13.417843678033403,2.575615657589925,4,6,-1.7404410089399394,中性观察,等待价格和成交量给出更明确方向。,41.09375
Applied Digital,APLD,11190000000.0,2026-09-24,27.059999465942383,-0.6243117119053121,0.7071031662625238,-27.453083057824568,3.040570383486685,-2.021487888008522,13153200,-17.00385506908931,355925584.97543335,-45.498492176605495,4.765505612707506,8,4,3.1469382243991157,中性观察,等待价格和成交量给出更明确方向。,38.28125
