Date,Microsoft,Google,Amazon,Oracle,Meta,CoreWeave,Nebius,Applied Digital,IREN,Core Scientific,DigitalOcean,NVIDIA,AMD,Broadcom,Marvell,Qualcomm,Arm,Intel,Micron,SanDisk,Western Digital,Seagate,NetApp,TSMC,ASML,Applied Materials,Lam Research,KLA,Teradyne,ASM International,Tokyo Electron,Palantir,ServiceNow,Salesforce,Adobe,Snowflake,Datadog,MongoDB,Cloudflare,CrowdStrike,Palo Alto Networks,Zscaler,GitLab,Atlassian,NextEra Energy,Constellation Energy,Vistra,Southern Company,Duke Energy,American Electric Power,Dominion Energy,Vertiv,Eaton,GE Vernova,Quanta Services,Hubbell,Schneider Electric,Arista Networks,Cisco,Credo Technology,Astera Labs,Coherent,Lumentum,Ciena,Amphenol
2025-12-23,14683600,25478700,29230200,18301600,8486800,22239800,8885700,17906900,22761100,5394800,1013400,174873600,20272300,28232600,12334100,4690400,7045300,35958000,20767600,5305700,3721100,2084400,1394000,6802300,543600,3791500,6483000,6007000,1344900,3700,48000,24041000,12572500,4745100,3052500,3986800,3084500,843900,1452900,8212000,3371300,1093100,2864600,1864100,7875000,1404300,3772000,4319300,3627800,2918000,8862900,3220400,2196900,1997600,562600,374354,316000,2884300,16712600,3091900,2505700,2052300,1627000,1802100,4807000
2025-12-24,5855900,10097400,11420500,9282700,5627500,11922600,3338000,7859800,10710700,2464400,510200,65528500,7956800,11424400,5335300,1645300,2160500,37443800,18592600,5642600,3067000,1474900,507200,2753900,229800,1279500,2598900,2103000,713100,2300,26200,11710100,3896800,2076600,1166500,1677400,2005400,341300,738600,2980400,1829300,606800,1391600,439000,3011300,628400,1342200,1617500,1060600,1057700,3079300,1335200,766500,1110900,306400,117064,214400,1642400,9104400,1956400,1280000,1566300,1522400,833200,2162400
2025-12-26,8842200,10899000,15994700,11262000,7133800,14073500,6234600,15491900,20249600,4726600,552100,139740300,15792600,15028100,5001000,2442800,3054300,28779400,17878500,5553700,3351600,1063800,759200,5125900,363800,1836000,5238900,3374000,1247800,4200,55500,26262000,5450500,2456400,1455100,1763700,1256400,532900,1107700,4602800,2527600,553900,1628200,865700,3636400,758100,2317500,2308500,1440300,1896100,4342400,2532800,1100800,1155300,279200,163815,177700,2308400,10158000,2727500,2089500,1707600,1585300,946900,2667800
2025-12-29,10893400,19621800,19797900,14748100,8506500,14033100,8076100,16678600,22027500,6347800,1495100,120006100,20326900,21946900,9677700,3978400,3347700,38062300,26642900,5706200,3906300,2537400,1186100,6205100,424300,2601600,6663300,6415000,1717900,7200,46100,28242000,7157700,4300100,2794000,2073000,2095800,1506500,1425800,5258400,2660000,1223100,2522300,1260700,5854600,1575600,2856100,3491000,2489100,1814700,6530000,3075200,1948700,2186100,503100,253069,305000,6199700,17941800,2828700,1939500,2023200,2965700,1755600,4376800
2025-12-30,13944500,17380900,21910500,14197400,9187500,13291800,5802300,25504900,19073000,6201800,1199400,97687300,16409600,16633600,9583000,3429300,3616900,61935300,23056400,6617000,6008000,1873600,1002100,6190600,807300,2185100,5670800,3843000,1989400,2900,352200,23336300,5110600,3291800,2252600,1593300,1615000,921500,761000,4672400,2847600,736100,2418900,1092200,4075900,1198700,2220600,2975100,1834800,6956400,4061400,3764300,1727000,1207000,465100,223008,201400,4081100,13952200,2182700,2401600,1259500,1610100,1163000,3551700
2025-12-31,15601600,16377700,24383700,10341500,7940400,18122800,7055900,29076400,20982400,5345500,969000,120100500,17591600,15346100,7234100,4682600,3455600,51524700,17573800,4180400,3552200,1316800,1079600,8175100,561300,3025800,4935800,6080000,1193900,4000,74000,22997400,5256100,3367900,2116200,2249300,1603900,835800,1277200,6644000,3253100,993700,2429400,1372600,5036200,1234600,1845100,3234300,1973900,1579400,3370800,2575500,1553900,1259900,521200,249495,107200,3821600,13570500,2521600,2438500,2170000,1595000,1170200,3303200
2026-01-02,25571600,32009400,51456200,14540700,13726500,30050000,9099500,36069500,30533300,11724200,1099000,148240500,36446200,25398600,14987500,6532200,6711800,95396400,42604300,11104300,6808300,2731000,1829900,18526900,2697900,7553200,11957400,8321000,3224100,7400,290900,60634100,9896600,9680600,5643500,3464200,2565800,2555100,1662800,13300000,6909600,1694800,5545200,2673900,8852900,2330100,3838400,4273600,2619600,3906700,5675200,7348200,2559600,2741800,887000,526279,318500,4707400,15749800,5797600,5658900,3515100,2819300,1985000,7178600
2026-01-05,25250300,30195600,49733300,22635500,12213700,27206500,10025600,34572600,47924800,11269400,2432100,183529700,31941100,31136000,21328400,8972200,6859500,96665400,34608600,9812600,9826700,3350300,1702200,17446300,3290600,10398700,16268200,13199000,4271600,8300,218500,39511700,9854900,6421500,5012100,4986900,3828000,1669100,2227600,10462800,6582900,1312700,4100900,4158700,8301900,3097300,4385200,4947700,4310300,3894400,5283800,5860200,3381700,2446600,1184700,516251,419300,9691900,16328800,8056400,7579600,5235400,5787800,3215900,10179300
2026-01-06,23037700,31212100,53764700,16474500,11074400,25473300,18739600,30638800,38993600,11305600,2848100,176862600,40033200,27135500,24322700,11033900,3290100,66395100,48732400,24249700,17178400,5563900,2648600,15599600,1895800,7237900,18787600,11414000,3377900,7000,101800,34838600,6428200,6103300,3187400,5208600,3631000,1740100,2485200,9360400,5959300,1535200,5019400,2990300,7254500,2448400,6577500,5034100,3303700,2535800,6171000,7813700,3246600,2490800,807400,465801,1365400,8004000,17017200,7360800,8028800,4647500,5619700,3456200,12854600
2026-01-07,25564200,35104400,42236500,11171200,12846300,14413400,10185800,43957700,21816500,6343000,2096200,153543200,29715500,20249300,17230800,9853000,5117600,166028400,32781100,14886100,14305000,5179200,2383000,11744800,1351200,6148400,15121000,9045000,2518400,3900,147000,45349000,6195600,5976200,3183100,2916900,5865000,1381800,2155600,15868400,7613600,2135400,4381000,2683400,9859900,2812100,9433200,3134800,3227800,2557000,7836500,5205600,3166100,2601100,716400,489622,582500,7550700,20347400,9879300,5045900,3064300,4716300,3220700,8294900
